impl,D,num_layers,prompt_len,gen_len,latency_mean_ms,latency_median_ms,latency_p95_ms,ms_per_token,tokens_per_sec
B1_naive,512,8,16,16,18.004358100006357,17.81962500535883,21.76899998448789,1.1252723812503973,888.673726168241
B1_naive,512,8,16,64,64.73512060183566,64.54287499946076,65.33279101131484,1.0114862594036822,988.6441765304318
B1_naive,512,8,64,16,17.661045797285624,16.615207990980707,21.257084008539096,1.1038153623303515,905.9486161606062
B1_naive,512,8,64,64,69.1691333980998,69.0100630017696,72.25183298578486,1.0807677093453094,925.2682064361125
B3_two_phase,512,8,16,16,29.172358399955556,29.053833495709114,30.217916995752603,1.8232723999972222,548.4643984088848
B3_two_phase,512,8,16,64,131.91379589843564,132.19633350672666,136.3140419998672,2.061153060913057,485.1653275846562
B3_two_phase,512,8,64,16,35.33229589811526,35.7996454986278,44.45950000081211,2.208268493632204,452.84348478620916
B3_two_phase,512,8,64,64,142.64082899899222,141.450437498861,151.13025001483038,2.2287629531092534,448.67938898793255
B1_naive,768,12,16,16,26.65471649961546,26.35841649316717,31.15875000366941,1.6659197812259663,600.268999305651
B1_naive,768,12,16,64,106.54001659713686,104.87208298582118,112.89516600663774,1.6646877593302634,600.7132535186777
B1_naive,768,12,64,16,29.324100096710026,28.151083504781127,28.292999981204048,1.8327562560443766,545.6262919316353
B1_naive,768,12,64,64,112.89671679551248,112.83747898414731,113.09683398576453,1.7640111999298824,566.88982475834
B3_two_phase,768,12,16,16,41.07526240113657,40.55387449625414,40.727582992985845,2.5672039000710356,389.52885665697596
B3_two_phase,768,12,16,64,161.7785666952841,161.73885398893617,162.21433397731744,2.527790104613814,395.6024664289823
B3_two_phase,768,12,64,16,41.17141239985358,41.137292006169446,41.299750009784475,2.5732132749908487,388.6191672175158
B3_two_phase,768,12,64,64,163.94848760101013,163.8819165091263,164.00945899658836,2.5616951187657833,390.36651655947134
